model,outcome,index,feature,coefficient,identified,feature_std,std_error,t_stat,p_value,significant_0.05,significant_0.01,n_obs,n_features,ridge_alpha,residual_sigma2
fourSC,4hour_step_norm,17,Ah*perceivedUtilityLastWeek,0.020380287696815522,True,1.7845417772617893,0.01203343809130831,1.693637972969346,0.09044260952216504,False,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,18,Ah*caeAverageLastWeek,-0.013623014948402875,True,0.6441478241013724,0.029020327220192318,-0.4694300944657851,0.6387979017060696,False,False,2890,20,1.0,0.47578235996143226
fourSC,4hour_step_norm,19,Ah*decisionTimeSlot,0.064548903167335,True,0.4133544954558577,0.05148777998726767,1.2536742346105658,0.21006254763016832,False,False,2890,20,1.0,0.47578235996143226
antic,anticipated_affect_norm,0,intercept,0.3402896908934944,False,0.0,,,,False,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,1,anticipated_affect_yesterday,0.2160393371644602,True,0.3291973575457633,0.02495382734787039,8.657563192721915,2.6214957901495635e-17,True,True,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,2,active_status_fraction_7days,0.08734270854165167,True,0.22446575056908855,0.032857734660509015,2.658208468845752,0.008012203886626634,True,True,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,3,is_weekend,-0.02725606341507662,True,0.37028890078059873,0.019151719375734885,-1.4231653503449873,0.15507710042496303,False,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,4,perceived_utility_lastweek,0.012722293383166662,True,2.2445792220428364,0.005444399760185326,2.3367669428325737,0.01969662124115652,True,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,5,CAE_avg_lastweek,0.20652416512160468,True,0.8951170084081764,0.015023663573466262,13.746591443005496,9.14455819225771e-39,True,True,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,6,recent_burden,0.014275039237316975,True,0.9561686693566581,0.01081984010078032,1.3193392050486465,0.1874322645414569,False,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,7,A0_morning,0.01132053599714136,True,0.49986477349313196,0.017534024028116543,0.6456325130493951,0.5187020472913328,False,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,8,A1_afternoon,0.023781572530256544,True,0.499936699069747,0.017372861142948868,1.3688921090530206,0.1714162697457248,False,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,9,A0_morning_by_perceived_utility_lastweek,-0.004974161207250295,True,1.7658883729959864,0.006816902941412933,-0.7296805088762648,0.46579855575966334,False,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,10,A1_afternoon_by_perceived_utility_lastweek,-0.0029535891884633933,True,1.7315120646949334,0.0067691374237292806,-0.43633169244127856,0.6627135235854662,False,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,11,A0_morning_by_CAE_avg_lastweek,-0.0002531392478082142,True,0.6412383317844603,0.016737952214674376,-0.01512366892685258,0.9879372794057281,False,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,12,A1_afternoon_by_CAE_avg_lastweek,-0.02417212093649234,True,0.6153857206091848,0.01666329021346742,-1.4506211334515566,0.14727637198200003,False,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,13,A0_morning_by_recent_burden,-0.008891793914810422,True,0.6461835778861279,0.01651898407112628,-0.5382772860924595,0.5905349821505035,False,False,817,15,1.0,0.040464140488413486
antic,anticipated_affect_norm,14,A1_afternoon_by_recent_burden,-0.0036193634850393568,True,0.6281431764584016,0.016551833445980914,-0.21866843312866974,0.8269639724470677,False,False,817,15,1.0,0.040464140488413486
CAE,CAE_avg_norm,0,intercept,-0.09785394726682267,False,0.0,,,,False,False,213,4,1.0,0.16637624862796638
CAE,CAE_avg_norm,1,CAE_avg_lastweek,0.8889910193508682,True,0.9798015591118078,0.03830281148952763,23.209550024648376,9.1947336853944e-60,True,True,213,4,1.0,0.16637624862796638
CAE,CAE_avg_norm,2,fourSC_ewma,-0.03933301392260803,True,0.5223690097294124,0.053321918461586085,-0.7376518898310856,0.4615533884188333,False,False,213,4,1.0,0.16637624862796638
CAE,CAE_avg_norm,3,anticipated_affect_ewma,0.194761660121883,True,0.33232121842883444,0.10683534407805739,1.8230077490047092,0.06973091554386958,False,False,213,4,1.0,0.16637624862796638
